Day_of_week,Age_band_of_driver,Sex_of_driver,Type_of_vehicle,Area_accident_oc cured,Lanes_or_Medians,Types_of_Junction,Road_surface_conditions,Light_conditions,Weather_conditions,Number_of_vehicles_involved,Number_of_casualties,Sex_of_casualty,Cause_of_accident,Accident_severity
Wednesday,18-30,Male,E-Bike,Office areas,Grass medians,No junction,Dry,Daylight,Normal,3,1,Female,No distancing,Slight Injury
Wednesday,Over 51,Male,E-Bike,Market areas,Speed breaker,No junction,Dry,Daylight,Normal,3,1,Male,No distancing,Slight Injury
Friday,31-50,Male,Public,Highways,Grass medians,Y Shape,Moist,Daylight,Normal,3,1,Male,Overtaking,Slight Injury
Friday,31-50,Male,E-Bike,Office areas,Grass medians,Y Shape,Moist,Daylight,Normal,3,1,Male,Overspeed,Slight Injury
Tuesday,Under 18,Female,Public,Residential areas,Speed breaker,Crossing,Moist,Night,Normal,3,1,Male,Drunk driving,Slight Injury
Tuesday,Over 51,Male,Public,Industrial areas,One way,Crossing,Moist,Night,Normal,3,1,Male,Overtaking,Slight Injury
Thursday,18-30,Male,E-Bike,Highways,Grass medians,Y Shape,Moist,Night,Cloudy,3,1,Male,Overspeed,Slight Injury
Thursday,31-50,Male,Train,Residential areas,Grass medians,Y Shape,Moist,Night,Cloudy,3,1,Female,Overtaking,Slight Injury
Thursday,18-30,Male,E-Bike,Industrial areas,Concrete barriers,Y Shape,Moist,Night,Raining,3,1,Male,Overspeed,Slight Injury
Thursday,31-50,Female,Lorry,Office areas,Speed breaker,Y Shape,Moist,Night,Raining,3,1,Male,Overtaking,Slight Injury
Wednesday,31-50,Male,Aeroplane,Industrial areas,Concrete barriers,Y Shape,Moist,Daylight,Raining,3,2,Female,No distancing,Slight Injury
Wednesday,31-50,Male,Taxi,Industrial areas,Concrete barriers,Y Shape,Moist,Daylight,Raining,2,2,Female,Moving Backward,Slight Injury
Tuesday,Over 51,Male,Train,Industrial areas,Grass medians,Y Shape,Moist,Daylight,Normal,1,1,Female,Overtaking,Serious Injury
Friday,18-30,Male,Aeroplane,Industrial areas,Grass medians,Y Shape,Moist,Night,Raining,2,3,Male,Overspeed,Serious Injury
Friday,18-30,Male,Taxi,Industrial areas,Speed breaker,Y Shape,Moist,Night,Raining,2,3,Female,No distancing,Serious Injury
Friday,18-30,Male,Train,Market areas,Speed breaker,Y Shape,Moist,Night,Raining,2,3,Male,Moving Backward,Serious Injury
Friday,18-30,Male,Train,Industrial areas,Concrete barriers,Y Shape,Moist,Night,Raining,2,3,Male,No distancing,Serious Injury
Saturday,18-30,Male,E-Bike,Industrial areas,Grass medians,Y Shape,Moist,Night,Cloudy,1,1,Female,Overtaking,Slight Injury
Tuesday,Over 51,Male,E-Bike,Industrial areas,Concrete barriers,Crossing,Dry,Daylight,Normal,3,1,Male,Overtaking,Fatal injury
Tuesday,Under 18,Female,Aeroplane,Industrial areas,Concrete barriers,Crossing,Dry,Daylight,Normal,3,1,Female,Overspeed,Fatal injury
Tuesday,Under 18,Female,Aeroplane,Office areas,Grass medians,Crossing,Dry,Daylight,Normal,3,1,Male,Overtaking,Fatal injury
Tuesday,Under 18,Female,E-Bike,Industrial areas,Grass medians,Crossing,Dry,Daylight,Normal,3,1,Male,Overspeed,Fatal injury
Tuesday,Under 18,Female,Taxi,Industrial areas,Grass medians,Crossing,Dry,Daylight,Normal,3,1,Female,Overspeed,Fatal injury
Tuesday,Under 18,Female,Aeroplane,Industrial areas,Grass medians,Crossing,Dry,Daylight,Normal,3,1,Male,Overspeed,Fatal injury
Thursday,Under 18,Male,Taxi,Office areas,Grass medians,Y Shape,Moist,Daylight,Raining,3,2,Male,Overspeed,Fatal injury
Thursday,18-30,Male,Train,Industrial areas,Grass medians,Y Shape,Moist,Daylight,Raining,3,2,Female,No distancing,Fatal injury
Tuesday,18-30,Female,E-Bike,Office areas,Grass medians,O Shape,Moist,Foggy,Raining,3,1,Male,Overtaking,Fatal injury
Tuesday,18-30,Male,Aeroplane,Highways,Concrete barriers,O Shape,Moist,Foggy,Raining,3,1,Female,Overspeed,Fatal injury
Tuesday,18-30,Male,E-Bike,Residential areas,Concrete barriers,Y Shape,Moist,Night,Normal,3,2,Female,No distancing,Fatal injury
Tuesday,31-50,Female,E-Bike,Residential areas,Speed breaker,Y Shape,Moist,Night,Normal,3,2,Female,Overspeed,Fatal injury
Tuesday,31-50,Male,E-Bike,Residential areas,Grass medians,Y Shape,Moist,Night,Normal,3,2,Female,Overspeed,Fatal injury
Saturday,Under 18,Female,E-Bike,Highways,Grass medians,Y Shape,Moist,Daylight,Normal,3,2,Male,Overspeed,Fatal injury
Saturday,18-30,Male,Lorry,Office areas,Concrete barriers,Y Shape,Moist,Daylight,Normal,3,2,Female,Overspeed,Fatal injury
Saturday,18-30,Male,Aeroplane,Highways,Concrete barriers,Crossing,Moist,Daylight,Raining,3,1,Female,Overloading,Fatal injury
Saturday,Over 51,Male,Taxi,Highways,Speed breaker,Crossing,Moist,Daylight,Raining,3,1,Female,Overtaking,Fatal injury
Saturday,31-50,Male,Taxi,Office areas,Concrete barriers,Crossing,Moist,Daylight,Raining,3,1,Male,Moving Backward,Slight Injury
Monday,18-30,Female,E-Bike,Highways,Speed breaker,No junction,Dry,Daylight,Normal,3,1,Female,Overspeed,Serious Injury
Monday,Over 51,Female,Train,Highways,Concrete barriers,No junction,Dry,Daylight,Normal,3,1,Female,Drunk driving,Serious Injury
Friday,Under 18,Female,E-Bike,Highways,One way,No junction,Dry,Daylight,Normal,3,1,Male,Drunk driving,Slight Injury
Friday,18-30,Male,Public,Office areas,Double carriageway ,No junction,Dry,Daylight,Normal,3,1,Female,Overspeed,Slight Injury
Thursday,18-30,Male,Lorry,Office areas,One way,Y Shape,Moist,Daylight,Raining,3,3,Female,Overtaking,Fatal injury
Thursday,18-30,Male,Public,Office areas,Grass medians,Y Shape,Moist,Daylight,Raining,3,3,Male,Overloading,Fatal injury
Thursday,31-50,Female,Aeroplane,Office areas,Double carriageway ,Y Shape,Moist,Daylight,Raining,3,3,Female,Overspeed,Fatal injury
Thursday,31-50,Male,Lorry,Highways,Concrete barriers,Y Shape,Moist,Daylight,Normal,3,2,Male,No distancing,Fatal injury
Thursday,31-50,Male,Lorry,Office areas,Grass medians,Y Shape,Moist,Daylight,Normal,3,2,Male,Overspeed,Fatal injury
Thursday,18-30,Male,Train,Highways,Concrete barriers,No junction,Dry,Daylight,Normal,3,1,Male,Drunk driving,Fatal injury
Thursday,18-30,Male,Taxi,Highways,Double carriageway ,No junction,Dry,Daylight,Normal,2,1,Male,Overloading,Fatal injury
Thursday,18-30,Male,Taxi,Highways,Concrete barriers,Y Shape,Moist,Night,Raining,1,1,Female,Overspeed,Fatal injury
Monday,18-30,Male,Lorry,Office areas,Concrete barriers,No junction,Moist,Night,Cloudy,2,2,Female,Moving Backward,Fatal injury
Monday,18-30,Male,Lorry,Office areas,Concrete barriers,No junction,Moist,Night,Cloudy,2,2,Female,Drunk driving,Fatal injury
Monday,18-30,Female,E-Bike,Office areas,Concrete barriers,No junction,Moist,Night,Cloudy,2,2,Male,Overloading,Fatal injury
Sunday,31-50,Male,Aeroplane,Office areas,Concrete barriers,Crossing,Dry,Night,Normal,2,3,Female,Overspeed,Fatal injury
Sunday,18-30,Male,Cycle,Highways,Grass medians,Crossing,Dry,Night,Normal,2,3,Female,Overspeed,Fatal injury
Sunday,18-30,Male,Aeroplane,Office areas,Concrete barriers,Crossing,Dry,Night,Normal,2,3,Male,Moving Backward,Fatal injury
Sunday,18-30,Male,E-Bike,Residential areas,Concrete barriers,Crossing,Dry,Night,Normal,2,3,Female,Overtaking,Slight Injury
Friday,31-50,Male,Taxi,Market areas,Concrete barriers,Crossing,Moist,Night,Raining,1,1,Female,Drunk driving,Slight Injury
Thursday,31-50,Male,E-Bike,Office areas,Grass medians,Y Shape,Dry,Daylight,Normal,2,1,Male,No distancing,Serious Injury
Thursday,Over 51,Male,Public,Highways,Grass medians,Y Shape,Dry,Daylight,Normal,2,1,Female,Overspeed,Serious Injury
Friday,Under 18,Male,E-Bike,Highways,Double carriageway ,Crossing,Dry,Daylight,Normal,2,1,Male,No distancing,Slight Injury
Friday,18-30,Male,Aeroplane,Highways,Double carriageway ,Crossing,Dry,Daylight,Normal,2,1,Male,Overtaking,Slight Injury
Monday,18-30,Male,Public,Highways,Concrete barriers,Y Shape,Moist,Night,Normal,2,1,Female,Overspeed,Slight Injury
Monday,18-30,Female,Train,Office areas,Double carriageway ,Y Shape,Moist,Night,Normal,2,1,Male,No distancing,Fatal injury
Thursday,18-30,Male,Lorry,Office areas,Concrete barriers,Y Shape,Dry,Night,Normal,1,1,Male,No distancing,Fatal injury
Wednesday,18-30,Male,Lorry,Office areas,Concrete barriers,Y Shape,Dry,Night,Normal,1,1,Female,Overtaking,Fatal injury
Wednesday,31-50,Male,Lorry,Office areas,Concrete barriers,No junction,Dry,Daylight,Normal,1,1,Female,No distancing,Fatal injury
Friday,31-50,Female,E-Bike,Office areas,One way,Y Shape,Moist,Night,Raining,2,2,Male,Overtaking,Fatal injury
Friday,18-30,Male,Lorry,Office areas,Concrete barriers,Y Shape,Moist,Night,Raining,2,2,Female,No distancing,Fatal injury
Saturday,18-30,Male,Cycle,Office areas,Concrete barriers,Crossing,Moist,Night,Raining,2,2,Female,No distancing,Fatal injury
Saturday,Over 51,Male,Public,Highways,Grass medians,Crossing,Moist,Night,Raining,2,2,Female,No distancing,Fatal injury
Saturday,Over 51,Male,E-Bike,Highways,Concrete barriers,Crossing,Moist,Night,Raining,2,2,Male,Overtaking,Fatal injury
Tuesday,18-30,Male,Train,Residential areas,Concrete barriers,Crossing,Dry,Night,Normal,2,1,Male,Overloading,Fatal injury
Tuesday,18-30,Male,E-Bike,Highways,Concrete barriers,Crossing,Dry,Night,Snow,2,1,Female,Moving Backward,Fatal injury
Thursday,31-50,Male,Lorry,Highways,Concrete barriers,Y Shape,Moist,Daylight,Snow,1,1,Female,Overloading,Fatal injury
Sunday,Under 18,Male,Aeroplane,Highways,Concrete barriers,No junction,Dry,Daylight,Snow,1,1,Female,No distancing,Slight Injury
Friday,31-50,Male,Taxi,Highways,Grass medians,Y Shape,Moist,Foggy,Snow,2,2,Male,Overtaking,Serious Injury
Friday,31-50,Male,Cycle,Industrial areas,Grass medians,Y Shape,Moist,Foggy,Snow,2,2,Female,Overspeed,Serious Injury
Friday,31-50,Male,Lorry,Industrial areas,Grass medians,Y Shape,Moist,Foggy,Snow,2,2,Female,Overspeed,Serious Injury
Sunday,Over 51,Male,E-Bike,Highways,Double carriageway ,Crossing,Moist,Night,Snow,2,2,Male,Overloading,Serious Injury
Sunday,Under 18,Male,Public,Highways,Grass medians,Crossing,Moist,Night,Snow,2,2,Male,Overspeed,Serious Injury
Monday,18-30,Male,E-Bike,Highways,Grass medians,Y Shape,Dry,Daylight,Snow,3,1,Female,Overspeed,Slight Injury
Monday,31-50,Male,Lorry,Office areas,Grass medians,Y Shape,Dry,Daylight,Snow,3,1,Female,Overtaking,Slight Injury
Monday,18-30,Male,Public,Office areas,Grass medians,Y Shape,Dry,Daylight,Normal,3,1,Male,Overtaking,Slight Injury
Thursday,18-30,Male,Aeroplane,Residential areas,Concrete barriers,Crossing,Moist,Daylight,Cloudy,2,1,Female,Overtaking,Fatal injury
Thursday,18-30,Male,Public,Industrial areas,Grass medians,Crossing,Moist,Daylight,Cloudy,2,1,Male,No distancing,Fatal injury
Saturday,18-30,Male,Lorry,Office areas,Grass medians,Y Shape,Dry,Daylight,Normal,1,1,Female,Overspeed,Fatal injury
Friday,31-50,Male,E-Bike,Highways,Grass medians,No junction,Dry,Daylight,Normal,1,1,Male,Overloading,Fatal injury
Wednesday,18-30,Male,Lorry,Highways,Concrete barriers,O Shape,Moist,Night,Normal,1,1,Female,Overtaking,Fatal injury
Thursday,18-30,Male,Train,Residential areas,Grass medians,No junction,Moist,Night,Normal,3,2,Female,No distancing,Fatal injury
Thursday,31-50,Male,Taxi,Office areas,Concrete barriers,No junction,Moist,Night,Normal,3,2,Female,Overspeed,Fatal injury
Thursday,31-50,Male,E-Bike,Residential areas,Speed breaker,No junction,Moist,Night,Normal,3,2,Male,Overspeed,Fatal injury
Thursday,31-50,Male,E-Bike,Office areas,Concrete barriers,No junction,Moist,Night,Normal,3,2,Female,Overspeed,Fatal injury
Monday,18-30,Male,Cycle,Highways,Concrete barriers,Y Shape,Dry,Daylight,Normal,3,1,Female,Moving Backward,Fatal injury
Monday,18-30,Male,Aeroplane,Residential areas,Concrete barriers,Y Shape,Dry,Daylight,Normal,3,1,Female,No distancing,Fatal injury
Monday,18-30,Male,E-Bike,Market areas,Speed breaker,Y Shape,Dry,Daylight,Normal,3,1,Female,No distancing,Fatal injury
Monday,31-50,Female,Public,Market areas,Speed breaker,Y Shape,Dry,Daylight,Normal,3,1,Female,No distancing,Fatal injury
Thursday,18-30,Male,Public,Highways,Grass medians,Y Shape,Moist,Night,Cloudy,3,2,Male,Overtaking,Fatal injury
Thursday,Over 51,Female,E-Bike,Market areas,Double carriageway ,Y Shape,Moist,Night,Cloudy,3,2,Female,Overtaking,Fatal injury
Thursday,31-50,Male,Public,Highways,Speed breaker,Y Shape,Moist,Night,Cloudy,3,2,Male,Moving Backward,Fatal injury
Sunday,18-30,Male,Public,Industrial areas,Grass medians,O Shape,Moist,Night,Raining,2,2,Female,Overloading,Fatal injury
Sunday,31-50,Male,Lorry,Highways,Concrete barriers,O Shape,Moist,Night,Raining,2,2,Male,Overspeed,Fatal injury
Saturday,Under 18,Female,E-Bike,Office areas,Concrete barriers,Y Shape,Snow,Daylight,Snow,3,2,Female,Moving Backward,Fatal injury
Saturday,Over 51,Male,Taxi,Highways,Concrete barriers,Y Shape,Snow,Daylight,Snow,3,2,Female,Overspeed,Fatal injury
Saturday,31-50,Female,Taxi,Office areas,Double carriageway ,Y Shape,Snow,Daylight,Snow,3,2,Female,Overspeed,Fatal injury
Saturday,31-50,Male,Lorry,Office areas,Double carriageway ,Y Shape,Snow,Daylight,Snow,3,2,Female,Drunk driving,Fatal injury
Saturday,Over 51,Male,E-Bike,Office areas,Double carriageway ,Crossing,Snow,Daylight,Snow,3,2,Female,Overspeed,Fatal injury
Saturday,Over 51,Male,Train,Residential areas,Double carriageway ,Crossing,Snow,Daylight,Snow,3,2,Female,Overspeed,Fatal injury
Saturday,18-30,Male,Aeroplane,Office areas,Double carriageway ,Crossing,Snow,Daylight,Snow,3,2,Male,Overspeed,Fatal injury
Saturday,18-30,Male,Cycle,Highways,Grass medians,Crossing,Snow,Daylight,Snow,3,2,Female,Moving Backward,Fatal injury
Friday,31-50,Male,Aeroplane,Industrial areas,One way,No junction,Moist,Daylight,Snow,2,1,Male,Overspeed,Fatal injury
Friday,31-50,Male,E-Bike,Highways,One way,No junction,Moist,Daylight,Snow,2,1,Female,Overspeed,Fatal injury
Sunday,18-30,Male,E-Bike,Office areas,Double carriageway ,No junction,Dry,Foggy,Snow,2,2,Female,Overloading,Fatal injury
Sunday,31-50,Male,Cycle,Office areas,Concrete barriers,No junction,Dry,Foggy,Snow,2,2,Male,Overtaking,Fatal injury
Sunday,Over 51,Male,Public,Highways,Double carriageway ,No junction,Moist,Night,Normal,2,3,Female,Overspeed,Fatal injury
Sunday,Over 51,Male,E-Bike,Highways,Concrete barriers,No junction,Moist,Night,Normal,2,3,Female,Overspeed,Fatal injury
Sunday,Over 51,Male,Aeroplane,Office areas,Double carriageway ,No junction,Moist,Night,Normal,2,3,Male,Moving Backward,Fatal injury
Sunday,Over 51,Male,E-Bike,Office areas,Concrete barriers,No junction,Moist,Night,Normal,2,3,Male,No distancing,Fatal injury
Sunday,Over 51,Male,Aeroplane,Office areas,Grass medians,No junction,Moist,Night,Normal,2,3,Male,Overtaking,Fatal injury
Sunday,31-50,Male,Lorry,Highways,Grass medians,No junction,Moist,Night,Normal,2,3,Male,Overtaking,Fatal injury
Wednesday,Over 51,Female,Taxi,Highways,Grass medians,Crossing,Snow,Daylight,Normal,3,2,Female,No distancing,Fatal injury
Wednesday,18-30,Male,Public,Industrial areas,Grass medians,Crossing,Snow,Daylight,Normal,3,2,Female,Overtaking,Fatal injury
Wednesday,Under 18,Female,E-Bike,Highways,Grass medians,Crossing,Snow,Daylight,Normal,3,2,Male,Overspeed,Fatal injury
Wednesday,Under 18,Female,Taxi,Industrial areas,Speed breaker,Crossing,Snow,Daylight,Normal,3,2,Female,Overtaking,Fatal injury
Sunday,Under 18,Male,E-Bike,Market areas,Speed breaker,No junction,Moist,Daylight,Snow,2,1,Female,No distancing,Fatal injury
Sunday,18-30,Male,Lorry,Highways,Double carriageway ,No junction,Moist,Daylight,Snow,2,1,Male,Overloading,Fatal injury
Friday,18-30,Male,E-Bike,Office areas,Concrete barriers,Y Shape,Dry,Night,Normal,2,1,Female,No distancing,Fatal injury
Friday,18-30,Male,Lorry,Residential areas,One way,Y Shape,Dry,Night,Normal,2,1,Male,Drunk driving,Fatal injury
Thursday,31-50,Male,Lorry,Highways,One way,No junction,Dry,Daylight,Normal,1,1,Female,No distancing,Fatal injury
Friday,Over 51,Male,Lorry,Highways,Grass medians,Y Shape,Moist,Night,Cloudy,2,2,Female,Overtaking,Fatal injury
Friday,31-50,Male,Public,Industrial areas,One way,Y Shape,Moist,Night,Cloudy,2,2,Male,Drunk driving,Fatal injury
Friday,31-50,Male,E-Bike,Highways,Speed breaker,Y Shape,Moist,Night,Cloudy,2,2,Female,Overspeed,Fatal injury
Thursday,Over 51,Male,Aeroplane,Office areas,Speed breaker,Y Shape,Snow,Night,Cloudy,2,3,Female,Moving Backward,Fatal injury
Thursday,Over 51,Male,Aeroplane,Office areas,Grass medians,Y Shape,Snow,Night,Cloudy,2,3,Male,Overloading,Fatal injury
Thursday,31-50,Male,Aeroplane,Office areas,Double carriageway ,Y Shape,Snow,Night,Cloudy,2,3,Male,Overtaking,Fatal injury
Friday,18-30,Male,E-Bike,Highways,Concrete barriers,Y Shape,Dry,Daylight,Normal,1,1,Female,Overloading,Fatal injury
Sunday,31-50,Male,Aeroplane,Office areas,Grass medians,Y Shape,Dry,Daylight,Normal,2,1,Female,Drunk driving,Fatal injury
Sunday,18-30,Female,Lorry,Highways,Double carriageway ,Y Shape,Dry,Daylight,Normal,2,1,Female,Overspeed,Fatal injury
Tuesday,18-30,Male,Public,Industrial areas,Concrete barriers,Y Shape,Moist,Night,Normal,1,1,Male,Overspeed,Fatal injury
Wednesday,31-50,Male,Lorry,Residential areas,Speed breaker,Y Shape,Moist,Night,Raining,1,1,Female,Overtaking,Fatal injury
Wednesday,31-50,Male,Public,Highways,Concrete barriers,Y Shape,Moist,Daylight,Cloudy,2,1,Female,Overloading,Fatal injury
Wednesday,18-30,Male,Lorry,Highways,One way,Y Shape,Moist,Daylight,Cloudy,2,1,Female,Overloading,Fatal injury
Wednesday,18-30,Male,Aeroplane,Highways,One way,Y Shape,Dry,Daylight,Normal,1,1,Female,Overtaking,Fatal injury
Tuesday,18-30,Male,Lorry,Highways,Grass medians,Y Shape,Dry,Night,Snow,1,1,Female,Overtaking,Fatal injury
Friday,31-50,Male,Cycle,Highways,Concrete barriers,Y Shape,Flood,Daylight,Snow,2,1,Female,Overspeed,Fatal injury
Friday,31-50,Male,Public,Residential areas,Speed breaker,Y Shape,Flood,Daylight,Snow,2,1,Female,Overtaking,Fatal injury
Wednesday,18-30,Male,Lorry,Office areas,Concrete barriers,Y Shape,Flood,Daylight,Snow,2,1,Male,Overtaking,Slight Injury
Wednesday,31-50,Female,Aeroplane,Office areas,Concrete barriers,Y Shape,Flood,Daylight,Snow,2,1,Female,Drunk driving,Slight Injury
Sunday,Under 18,Female,Aeroplane,Highways,Concrete barriers,Crossing,Flood,Night,Snow,2,1,Male,Overspeed,Serious Injury
Sunday,18-30,Male,E-Bike,Highways,One way,Crossing,Flood,Night,Snow,2,1,Male,Moving Backward,Serious Injury
Saturday,31-50,Male,Lorry,Office areas,Concrete barriers,Y Shape,Flood,Daylight,Snow,1,1,Male,No distancing,Slight Injury
Wednesday,31-50,Male,Taxi,Office areas,Grass medians,Crossing,Dry,Foggy,Snow,1,1,Female,Overspeed,Slight Injury
Thursday,18-30,Male,E-Bike,Highways,Concrete barriers,Y Shape,Moist,Night,Snow,2,2,Male,Drunk driving,Fatal injury
Thursday,18-30,Male,Cycle,Highways,Concrete barriers,Y Shape,Moist,Night,Snow,2,2,Female,Overtaking,Fatal injury
Thursday,18-30,Female,Aeroplane,Residential areas,Concrete barriers,Y Shape,Moist,Night,Snow,2,2,Male,No distancing,Fatal injury
Friday,31-50,Male,E-Bike,Highways,Grass medians,No junction,Dry,Daylight,Snow,3,3,Male,Moving Backward,Fatal injury
Friday,31-50,Male,Train,Office areas,Grass medians,No junction,Dry,Daylight,Snow,3,3,Male,Overspeed,Fatal injury
Friday,31-50,Male,Aeroplane,Office areas,Grass medians,No junction,Dry,Daylight,Snow,3,3,Female,Overspeed,Fatal injury
Friday,Under 18,Female,Cycle,Highways,Grass medians,No junction,Dry,Daylight,Snow,3,3,Male,No distancing,Fatal injury
Friday,Under 18,Female,Taxi,Highways,Concrete barriers,No junction,Dry,Daylight,Snow,3,3,Male,No distancing,Fatal injury
Monday,18-30,Male,Cycle,Highways,Grass medians,No junction,Dry,Foggy,Snow,2,2,Female,Overtaking,Fatal injury
Monday,18-30,Male,Aeroplane,Office areas,Concrete barriers,No junction,Dry,Foggy,Snow,2,2,Male,Drunk driving,Fatal injury
Monday,18-30,Male,Lorry,Office areas,Concrete barriers,No junction,Dry,Foggy,Snow,2,2,Female,Overloading,Fatal injury
Tuesday,31-50,Male,Lorry,Highways,Concrete barriers,Y Shape,Dry,Daylight,Snow,1,1,Male,Overtaking,Fatal injury
Thursday,31-50,Female,Lorry,Highways,Speed breaker,No junction,Moist,Night,Snow,2,1,Female,Overspeed,Fatal injury
Thursday,31-50,Male,Train,Industrial areas,Grass medians,No junction,Moist,Night,Normal,2,1,Male,Moving Backward,Fatal injury
Sunday,31-50,Male,Lorry,Highways,Grass medians,Crossing,Moist,Daylight,Raining,2,2,Female,Moving Backward,Fatal injury
Sunday,31-50,Male,E-Bike,Highways,Concrete barriers,Crossing,Moist,Daylight,Raining,2,2,Female,Overloading,Slight Injury
